TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,PPFD_1_1_1,P_1_1_1
yyyy-mm-dd HHMM,C,%,umol+1m-2s-1,mm
2023-05-23 0100,1.259,59.665,0.079,0
2023-05-23 0130,0.867,59.905,0.199,0
2023-05-23 0200,0.844,60.343,0.119,0
2023-05-23 0230,0.693,60.76,0.318,0
2023-05-23 0300,0.788,59.831,0.318,0
2023-05-23 0330,0.201,62.285,0.794,0
2023-05-23 0400,-0.099,62.649,4.369,0
2023-05-23 0430,-0.321,63.231,15.213,0
2023-05-23 0500,-0.432,62.974,40.553,0
2023-05-23 0530,-0.18,61.955,88.614,0
2023-05-23 0600,-0.215,61.715,148.511,0
2023-05-23 0630,0.377,61.04,217.066,0
2023-05-23 0700,1.248,58.487,298.054,0
2023-05-23 0730,2.239,55.887,383.49,0
2023-05-23 0800,2.356,55.042,468.212,0
2023-05-23 0830,3.654,51.47,553.251,0
2023-05-23 0900,4.34,48.767,636.026,0
2023-05-23 0930,4.228,46.192,713.677,0
2023-05-23 1000,4.872,43.031,783.861,0
2023-05-23 1030,5.049,42.05,866.636,0
2023-05-23 1100,5.659,40.633,919.503,0
2023-05-23 1130,6.146,38.747,958.467,0
2023-05-23 1200,6.229,38.901,1017.133,0
2023-05-23 1230,6.965,35.932,1061.539,0
2023-05-23 1300,6.85,36.527,356.044,0
2023-05-23 1330,8.373,34.939,1097.088,0
2023-05-23 1400,7.298,35.585,402.913,0
2023-05-23 1430,7.808,33.725,893.566,0
2023-05-23 1500,9.129,30.789,931.895,0
2023-05-23 1530,8.805,29.378,1012.843,0
2023-05-23 1600,9,29.595,903.416,0
2023-05-23 1630,9.234,28.638,430.955,0
2023-05-23 1700,9.999,26.603,812.022,0
2023-05-23 1730,10.057,32.918,807.693,0
2023-05-23 1800,9.726,32.11,702.754,0
2023-05-23 1830,10.217,30.222,586.933,0
2023-05-23 1900,9.687,32.513,502.529,0
2023-05-23 1930,9.391,33.306,384.563,0
2023-05-23 2000,8.981,33.505,271.402,0
2023-05-23 2030,8.537,33.826,80.63,0
2023-05-23 2100,8.114,35.347,67.761,0
2023-05-23 2130,8.111,33.82,36.462,0
2023-05-23 2200,7.396,35.569,18.112,0
2023-05-23 2230,7.526,35.711,6.315,0
2023-05-23 2300,7.846,34.58,1.628,0
2023-05-23 2330,7.651,34.474,0.357,0
2023-05-24 0000,7.752,33.89,0.199,0
2023-05-24 0030,6.775,37.137,0.119,0
2023-05-24 0100,6.752,36.981,0.238,0
2023-05-24 0130,5.293,42.293,0.238,0
2023-05-24 0200,4.643,47.341,0.199,0
2023-05-24 0230,4.204,47.306,0.079,0
2023-05-24 0300,3.756,51.777,0.397,0
2023-05-24 0330,3.386,56.42,0.993,0
2023-05-24 0400,3.27,58.607,4.965,0
2023-05-24 0430,2.492,61.916,16.285,0
2023-05-24 0500,2.181,64.998,36.343,0
2023-05-24 0530,2.166,65.863,79.439,0
2023-05-24 0600,1.857,67.63,110.181,0
2023-05-24 0630,1.487,71.109,221.991,0
2023-05-24 0700,2.703,64.455,299.563,0
2023-05-24 0730,3.603,62.109,383.927,0
2023-05-24 0800,4.811,58.21,470.992,0
2023-05-24 0830,6.648,50.35,560.281,0
2023-05-24 0900,7.871,41.978,601.947,0
2023-05-24 0930,7.903,39.016,669.112,0
2023-05-24 1000,8.43,35.563,785.847,0
2023-05-24 1030,9.089,34.896,859.884,0
2023-05-24 1100,9.701,32.143,932.491,0
2023-05-24 1130,9.786,23.193,949.411,0
2023-05-24 1200,10.609,24.894,1161.513,0
2023-05-24 1230,10.268,29.347,1048.71,0
2023-05-24 1300,10.862,31.033,903.655,0
2023-05-24 1330,9.917,29.358,471.747,0
2023-05-24 1400,10.015,28.458,384.563,0
2023-05-24 1430,10.372,28.581,358.864,0
2023-05-24 1500,10.432,28.259,270.052,0
2023-05-24 1530,10.849,26.155,1045.135,0
2023-05-24 1600,10.54,27.856,751.331,0
2023-05-24 1630,10.554,26.728,209.48,0
2023-05-25 0000,8.242,41.714,0.159,0
2023-05-25 0030,7.663,43.062,0.119,0
2023-05-25 0100,7.559,43.728,0.119,0
2023-05-25 0130,6.773,46.095,0.159,0
2023-05-25 0200,6.776,46.3,0.238,0
2023-05-25 0230,7.239,44.973,1.072,0
2023-05-25 0300,6.982,45.376,5.203,0
2023-05-25 0330,6.827,45.187,18.112,0
2023-05-25 0400,7.385,43.135,45.638,0
2023-05-25 0430,5.651,49.435,66.967,0
2023-05-25 0500,5.993,47.751,123.885,0
2023-05-25 0530,6.72,45.792,172.263,0
2023-05-25 0600,8.24,41.892,303.297,0
2023-05-25 0630,8.987,38.46,387.701,0
2023-05-25 0700,9.675,36.713,473.574,0
2023-05-25 0730,10.085,35.837,558.216,0
2023-05-25 0800,10.489,33.374,650.086,0
2023-05-25 0830,10.319,32.013,169.443,0
2023-05-25 0900,10.275,31.664,251.225,0
2023-05-25 0930,10.671,29.583,726.189,0
2023-05-25 1000,10.458,32.21,472.025,0
2023-05-25 1030,10.867,34.985,811.109,0
2023-05-25 1100,10.469,34.56,1202.424,0
2023-05-25 1130,10.942,35.044,396.002,0
2023-05-25 1200,11.616,32.293,1271.496,0
2023-05-25 1230,11.04,31.447,233.073,0
2023-05-25 1300,11.209,29.186,352.231,0
2023-05-25 1330,11.942,29.881,1130.492,0
2023-05-25 1400,13.568,23.814,1210.526,0
2023-05-25 1430,12.869,22.753,1066.504,0
2023-05-25 1500,12.154,29.397,270.926,0
2023-05-25 1530,13.042,26.416,960.334,0
2023-05-25 1600,12.951,23.229,762.174,0
2023-05-25 1630,13.08,23.274,698.584,0
2023-05-25 1700,13.688,22.089,634.517,0
2023-05-25 1730,12.747,22.571,262.545,0
2023-05-25 1800,12.707,23.626,146.207,0
2023-05-25 1830,12.815,24.583,337.416,0
2023-05-25 1900,13.611,23.368,309.136,0
2023-05-25 1930,12.684,24.258,127.896,0
2023-05-25 2000,12.352,27.821,112.128,0
2023-05-25 2030,12.101,27.219,57.156,0
2023-05-25 2100,11.729,27.64,22.402,0
2023-05-25 2130,11.347,28.665,7.666,0
2023-05-25 2200,11.229,28.523,2.145,0
2023-05-25 2230,10.968,28.841,0.556,0
2023-05-25 2300,10.243,30.496,0.318,0
2023-05-25 2330,9.346,32.743,0.119,0
2023-05-26 0000,9.37,31.635,0.119,0
2023-05-26 0030,8.687,33.277,0.238,0
2023-05-26 0100,8.493,33.26,0.159,0
2023-05-26 0130,7.703,35.126,0.278,0
2023-05-26 0200,7.289,37.055,0.437,0
2023-05-26 0230,6.563,40.326,1.589,0
2023-05-26 0300,5.97,44.133,6.077,0
2023-05-26 0330,5.461,47.686,19.741,0
2023-05-26 0400,5.22,49.948,48.656,0
2023-05-26 0430,4.817,51.845,97.948,0
2023-05-26 0500,4.995,51.755,159.036,0
2023-05-26 0530,5.331,50.902,229.101,0
2023-05-26 0600,6.234,48.397,306.872,0
2023-05-26 0630,6.746,46.88,392.387,0
2023-05-26 0700,7.974,44.238,477.109,0
2023-05-26 0730,8.668,41.336,562.307,0
2023-05-26 0800,9.532,37.852,643.136,0
2023-05-26 0830,10.477,35.044,722.574,0
2023-05-26 0900,10.785,32.103,793.831,0
2023-05-26 0930,11.551,30.895,856.15,0
2023-05-26 1000,11.003,27.815,909.732,0
2023-05-26 1030,11.625,29.076,955.091,0
2023-05-26 1100,11.63,28.354,990.561,0
2023-05-26 1130,11.81,27.044,1024.64,0
2023-05-26 1200,12.507,24.997,1033.1,0
2023-05-26 1230,12.434,26.272,741.957,0
2023-05-26 1300,13.736,25.863,1051.768,0
2023-05-26 1330,12.941,24.851,1035.92,0
2023-05-26 1400,13.313,25.303,971.853,0
2023-05-26 1430,13.785,24.375,940.038,0
2023-05-26 1500,13.783,24.328,888.363,0
2023-05-26 1530,13.678,28.225,855.515,0
2023-05-26 1600,12.631,29.516,493.195,0
2023-05-26 1630,13.564,28.847,771.31,0
2023-05-26 1700,13.274,28.571,583.795,0
2023-05-26 1730,12.603,30.562,494.109,0
2023-05-26 1800,12.741,30.834,442.235,0
2023-05-26 1830,12.537,30.996,321.846,0
2023-05-26 1900,11.816,30.223,239.547,0
2023-05-26 1930,11.709,30.16,173.415,0
2023-05-26 2000,11.204,33.566,106.527,0
2023-05-26 2030,10.562,37.915,55.528,0
2023-05-26 2100,9.828,41.265,23.355,0
2023-05-26 2130,9.035,43.755,8.897,0
2023-05-26 2200,8.487,45.645,2.224,0
2023-05-26 2230,7.741,47.718,0.675,0
2023-05-26 2300,6.744,50.55,0.159,0
2023-05-26 2330,5.987,51.524,0.318,0
2023-05-27 0000,5.364,51.527,0.079,0
2023-05-27 0030,4.91,52.085,0.04,0
2023-05-27 0100,4.219,54.284,0.199,0
2023-05-27 0130,3.361,57.11,0.199,0
2023-05-27 0200,2.947,59.467,0.516,0
2023-05-27 0230,2.747,58.78,1.708,0
2023-05-27 0300,2.119,61.35,6.832,0
2023-05-27 0330,1.82,61.346,20.654,0
2023-05-27 0400,1.93,58.35,48.1,0
2023-05-27 0430,2.015,59.095,98.067,0
2023-05-27 0500,2.212,57.421,153.356,0
2023-05-27 0530,2.731,55.094,223.223,0
2023-05-27 0600,3.735,50.381,303.972,0
2023-05-27 0630,4.276,47.059,389.567,0
2023-05-27 0700,4.846,44.579,470.634,0
2023-05-27 0730,5.428,42.179,552.059,0
2023-05-27 0800,5.67,40.046,636.939,0
2023-05-27 0830,6.103,38.775,717.093,0
2023-05-27 0900,7.153,36.065,782.193,0
2023-05-27 0930,7.467,35.813,856.945,0
2023-05-27 1000,7.426,35.18,910.804,0
2023-05-27 1030,8.155,33.641,948.736,0
2023-05-27 1100,8.228,33.593,978.645,0
2023-05-27 1130,8.85,33.708,1016.934,0
2023-05-27 1200,9.611,33.679,1036.278,0
2023-05-27 1230,10.519,32.453,1073.455,0
2023-05-27 1300,9.597,33.717,1064.399,0
2023-05-27 1330,9.749,33.837,1140.025,0
2023-05-27 1400,10.123,33.048,1001.126,0
2023-05-27 1430,10.484,33.671,986.271,0
2023-05-27 1500,11.008,31.908,617.914,0
2023-05-27 1530,10.468,33.001,281.65,0
2023-05-27 1600,10.963,32.07,818.179,0
2023-05-27 1630,10.497,32.623,575.891,0
2023-05-27 1700,11.036,31.571,386.032,0
2023-05-27 1730,10.436,32.466,160.784,0
2023-05-27 1800,11.557,30.084,415.226,0
2023-05-27 1830,11.685,27.51,323.713,0
2023-05-27 1900,11.252,29.445,247.372,0
2023-05-27 1930,11.251,29.721,178.022,0
2023-05-27 2000,10.757,30.447,59.539,0
2023-05-27 2030,10.344,31.986,19.224,0
2023-05-27 2100,10.168,34.176,11.757,0
2023-05-27 2130,9.635,35.769,3.575,0
2023-05-27 2200,9.697,33.878,1.152,0
2023-05-27 2230,8.943,38.382,0.238,0
2023-05-27 2300,8.7,40.548,0.04,0
2023-05-27 2330,8.035,43.447,0.238,0
2023-05-28 0000,7.567,46.55,0.199,0
2023-05-28 0030,7.406,47.875,0.079,0
2023-05-28 0100,7.329,48.964,0.199,0
2023-05-28 0130,7.18,49.794,0.079,0
2023-05-28 0200,7.568,47.937,0.357,0
2023-05-28 0230,7.366,47.815,0.993,0
2023-05-28 0300,6.909,51.104,5.243,0
2023-05-28 0330,6.644,53.498,21.726,0
2023-05-28 0400,6.386,52.932,54.336,0
2023-05-28 0430,6.262,52.293,105.693,0
2023-05-28 0500,6.311,52.547,166.543,0
2023-05-28 0530,6.086,54.228,236.211,0
2023-05-28 0600,7.768,48.887,318.39,0
2023-05-28 0630,8.568,44.201,403.191,0
2023-05-28 0700,9.783,42.088,487.039,0
2023-05-28 0730,9.043,40.8,570.211,0
2023-05-28 0800,9.899,35.992,651.636,0
2023-05-28 0830,10.088,36.228,728.453,0
2023-05-28 0900,11.113,33.892,798.597,0
2023-05-28 0930,10.688,33.627,867.629,0
2023-05-28 1000,10.707,33.663,924.746,0
2023-05-28 1030,11.476,33.597,969.549,0
2023-05-28 1100,11.523,31.695,1003.311,0
2023-05-28 1130,12.132,30.355,1023.726,0
2023-05-28 1200,12.302,29.676,1041.282,0
2023-05-28 1230,12.722,29.827,1066.862,0
2023-05-28 1300,13.602,28.201,1108.249,0
2023-05-28 1330,13.253,26.494,1022.058,0
2023-05-28 1400,13.374,25.756,1013.717,0
2023-05-28 1430,15.014,24.645,875.335,0
2023-05-28 1500,13.668,26.484,744.42,0
2023-05-28 1530,14.479,24.9,842.209,0
2023-05-28 1600,15.122,24.044,767.974,0
2023-05-28 1630,14.757,24.187,680.273,0
2023-05-28 1700,15.148,22.517,580.657,0
2023-05-28 1730,15.577,22.229,498.279,0
2023-05-28 1800,16.075,21.231,412.287,0
2023-05-28 1830,15.744,22.129,330.981,0
2023-05-28 1900,15.95,21.927,252.337,0
2023-05-28 1930,15.749,22.366,180.207,0
2023-05-28 2000,15.769,22.933,118.801,0
2023-05-28 2030,15.36,23.713,63.551,0
2023-05-28 2100,14.703,25.328,29.194,0
2023-05-28 2130,13.93,27.083,12.154,0
2023-05-28 2200,13.52,27.868,2.026,0
2023-05-28 2230,13.306,28.516,0.357,0
2023-05-28 2300,12.879,29.64,0.159,0
2023-05-28 2330,12.391,30.908,0.159,0
2023-05-29 0000,11.907,32.126,0.159,0
2023-05-29 0030,11.488,33.329,0.119,0
2023-05-29 0100,10.97,35.866,0.318,0
2023-05-29 0130,10.292,38.422,0.159,0
2023-05-29 0200,10.138,40.41,0.318,0
2023-05-29 0230,10.231,41.914,1.231,0
2023-05-29 0300,10.14,44.116,7.11,0
2023-05-29 0330,10.154,44.725,23.077,0
2023-05-29 0400,10.136,45.311,53.303,0
2023-05-29 0430,10.322,45.622,111.333,0
2023-05-29 0500,10.555,45.558,168.251,0
2023-05-29 0530,10.951,45.334,237.045,0
2023-05-29 0600,12.103,42.897,315.252,0
2023-05-29 0630,13.311,39.168,398.901,0
2023-05-29 0700,15.164,36.179,485.966,0
2023-05-29 0730,15.505,35.57,570.568,0
2023-05-29 0800,16.308,33.468,654.058,0
2023-05-29 0830,16.339,34.285,730.359,0
2023-05-29 0900,16.33,33.531,801.338,0
2023-05-29 0930,16.598,32.497,866.914,0
2023-05-29 1000,17.172,32.117,925.342,0
2023-05-29 1030,18.176,27.602,970.463,0
2023-05-29 1100,17.923,26.805,1004.939,0
2023-05-29 1130,18.332,25.465,1021.74,0
2023-05-29 1200,18.047,22.409,1035.841,0
2023-05-29 1230,18.478,21.703,1037.866,0
2023-05-29 1300,19.269,21.002,1072.263,0
2023-05-29 1330,19.372,21.671,1043.626,0
2023-05-29 1400,20.312,21.166,994.374,0
2023-05-29 1430,19.333,20.786,937.138,0
2023-05-29 1500,20.111,21.224,904.687,0
2023-05-29 1530,19.893,20.971,918.033,0
2023-05-29 1600,19.716,20.661,793.235,0
2023-05-29 1630,20.417,20.822,254.919,0
2023-05-29 1700,20.38,21.001,644.566,0
2023-05-29 1730,19.538,22.375,248.762,0
2023-05-29 1800,19.788,22.147,400.172,0
2023-05-29 1830,19.12,23.145,140.289,0
2023-05-29 1900,19.819,21.491,229.896,0
2023-05-29 1930,19.634,22.267,168.926,0
2023-05-29 2000,19.394,22.554,107.679,0
2023-05-29 2030,18.907,23.464,60.175,0
2023-05-29 2100,18.176,24.18,29.273,0
2023-05-29 2130,17.101,27.189,10.287,0
2023-05-29 2200,16.593,27.576,2.979,0
2023-05-29 2230,15.682,29.478,0.834,0
2023-05-29 2300,15.343,31.206,0.397,0
2023-05-29 2330,14.857,32.774,0.199,0
2023-05-30 0000,14.418,34.239,0.199,0
2023-05-30 0030,13.912,35.589,0.238,0
2023-05-30 0100,13.479,36.8,0.159,0
2023-05-30 0130,12.983,37.597,0.199,0
2023-05-30 0200,12.646,37.382,0.556,0
2023-05-30 0230,12.433,36.939,2.185,0
2023-05-30 0300,11.763,38.521,7.507,0
2023-05-30 0330,11.936,38.407,20.654,0
2023-05-30 0400,11.904,38.074,44.009,0
2023-05-30 0430,11.94,38.078,81.782,0
2023-05-30 0500,12.003,37.17,135.642,0
2023-05-30 0530,11.651,38.69,209.361,0
2023-05-30 0600,12.159,39.366,289.832,0
2023-05-30 0630,13.554,37.454,370.303,0
2023-05-30 0700,14.763,34.66,458.52,0
2023-05-30 0730,15.577,33.417,542.725,0
2023-05-30 0800,17.152,29.275,625.937,0
2023-05-30 0830,17.729,26.92,678.605,0
2023-05-30 0900,18.072,24.873,431.71,0
2023-05-30 0930,18.25,24.709,769.125,0
2023-05-30 1000,18.566,23.126,661.049,0
2023-05-30 1030,18.833,23.425,856.905,0
2023-05-30 1100,19.751,22.551,923.832,0
2023-05-30 1130,19.439,22.035,1036.039,0
2023-05-30 1200,19.294,22.737,691.593,0
2023-05-30 1230,19.446,21.666,1003.152,0
2023-05-30 1300,20.01,21.878,644.724,0
2023-05-30 1330,19.504,22.425,666.411,0
2023-05-30 1400,19.773,21.106,883.239,0
2023-05-30 1430,19.475,21.634,466.782,0
2023-05-30 1500,19.639,20.743,632.491,0
2023-05-30 1530,19.694,19.069,662.121,0
2023-05-30 1600,19.897,18.224,644.526,0
2023-05-30 1630,19.862,19.027,442.553,0
2023-05-30 1700,19.836,18.47,527.393,0
2023-05-30 1730,19.97,19.091,510.95,0
2023-05-30 1800,19.685,19.394,421.462,0
2023-05-30 1830,19.628,21.054,336.145,0
2023-05-30 1900,19.285,21.955,254.879,0
2023-05-30 1930,18.912,21.226,185.211,0
2023-05-30 2000,18.519,23.324,130.041,0
2023-05-30 2030,17.821,25.857,75.189,0
2023-05-30 2100,17.099,27.641,31.736,0
2023-05-30 2130,16.049,29.918,11.717,0
2023-05-30 2200,15.155,33.566,3.654,0
2023-05-30 2230,14.521,35.956,0.874,0
2023-05-30 2300,13.89,38.623,0.357,0
2023-05-30 2330,14.162,37.633,0.278,0
